Indicator	Dimension	Granularity	Params	Formalization_fp	Description_fp
Successful outcome Unit Count (group of cases granularity)	Q	G	\(\mathit{SUC(g)\)	\(\sum _{c \in G} \mathit{SUC(c)\)	\(\mathit{SUC(c)\) returns the successful outcome unit count for case \(c\). \\
Expected Successful outcome Unit Count	Q	G	\(\mathit{e\mathit{SUC(g)\)	\(\frac{\mathit{SUC(g)}{\mathit{C(g)}\)	"\(\mathit{SUC(g)\) returns the total successful outcome unit count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Successful outcome Unit Percentage (activity instance granularity)	Q	I	\(\mathit{SUP(i)\)	\(\frac{\mathit{SUC(i)}{\mathit{U(i)}\)	"\(\mathit{SUC(i)\) returns the successful outcome unit count of activity instance \(i\).
\newline \(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\). \\"
Successful outcome Unit Percentage (activity granularity)	Q	A	\(\mathit{SUP(a)\)	\(\frac{\mathit{SUC(a)}{\mathit{U(a)}\)	"\(\mathit{SUC(a)\) returns the successful outcome unit count of activity \(a\).
\newline \(\mathit{U(a)\) returns the total outcome unit count of activity \(a\). \\"
Successful outcome Unit Percentage (case granularity)	Q	C	\(\mathit{SUP(c)\)	\(\frac{\mathit{SUC(c)}{\mathit{U(c)}\)	"\(\mathit{SUC(c)\) returns the successful outcome unit count of case \(c\).
\newline \(\mathit{U(c)\) returns the total outcome unit count of case \(c\). \\"
Successful outcome Unit Percentage (group of cases granularity)	Q	G	\(\mathit{SUP(g)\)	\(\frac{\mathit{SUC(g)}{\mathit{U(g)}\)	"\(\mathit{SUC(g)\) returns the total successful outcome unit count of case group \(g\).
\newline \(\mathit{U(g)\) returns the total outcome unit count of case group \(g\). \\"
Expected Successful outcome Unit Percentage	Q	G	\(\mathit{e\mathit{SUP(g)\)	\(\frac{\sum _{c \in g} \mathit{SUP(c)}{\mathit{C(g)}\)	"\(\mathit{SUP(c)\) returns the successful outcome unit percentage of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Total Cost and Client count Ratio (activity granularity)	Q	A	\(\mathit{TCCliR(a)\)	\(\frac{\mathit{TC(a)}{\mathit{Cli(a)}\)	"\(\mathit{TC(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{Cli(a)\) returns the number of distinct clients involved in activity \(a\). \\"
Total Cost and Client count Ratio (group of cases granularity)	Q	G	\(\mathit{TCCliR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{Cli(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\). \\"
Expected Total Cost and Client count Ratio	Q	G	\(\mathit{e\mathit{TCCliR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{Cli(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\). \\"
Unwanted Activity count (case granularity)	Q	C	\(\mathit{UAC(c)\)	"\(\displaystyle \sum_{a \in \mathit{act(c)}
\begin{cases}
1 & \text{if } a \in \mathit{Unwl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{Unwl\) returns the set of unwanted activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
Unwanted Activity count (group of cases granularity)	Q	G	\(\mathit{UAC(g)\)	"\(\displaystyle \sum_{a \in (\cup_{c \in g} \mathit{act(c))}
\begin{cases}
1 & \text{if } a \in \mathit{Unwl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{Unwl\) returns the set of unwanted activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
Expected Unwanted Activity count	Q	G	\(\mathit{UAC(g)\)	\(\frac{\sum _{c \in g} \mathit{UAC(c)}{\mathit{C(g)}\)	"\(\mathit{UAC(c)\) returns the unwanted activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Unwanted Activity Percentage (case granularity)	Q	C	\(\mathit{UAP(c)\)	\(\frac{\mathit{UAC(c)}{\mathit{A(c)}\)	"\(\mathit{UAC(c)\) returns the unwanted activity count for case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
Unwanted Activity Percentage (group of cases granularity)	Q	G	\(\mathit{UAP(g)\)	\(\frac{\mathit{UAC(g)}{\mathit{A(g)}\)	"\(\mathit{UAC(g)\) returns the unwanted activity count for group \(g\).
\newline \(\mathit{A(g)\) returns the number of unique activities in group \(g\). \\"
Expected Unwanted Activity Percentage	Q	G	\(\mathit{e\mathit{UAP(g)\)	\(\frac{\sum _{c \in g} \mathit{UAP(c)}{\mathit{C(g)}\)	"\(\mathit{UAP(c)\) returns the unwanted activity percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Unwanted activity Instance count (case granularity)	Q	C	\(\mathit{UIC(c)\)	"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \in \mathit{Unwl \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Unwl\) returns the set of unwanted activities. \\"
Unwanted activity Instance count (group of cases granularity)	Q	G	\(\mathit{UIC(g)\)	\(\sum _{c \in g} \mathit{UIC(c)\)	\(\mathit{UIC(c)\) returns the unwanted activity instance count for case \(c\). \\
Expected Unwanted activity Instance count	Q	G	\(\mathit{e\mathit{UIC(g)\)	\(\frac{\mathit{UIC(g)}{\mathit{C(g)}\)	"\(\mathit{UIC(g)\) returns the total unwanted activity instance count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Unwanted activity Instance Percentage (case granularity)	Q	C	\(\mathit{UIP(c)\)	\(\frac{\mathit{UIC(c)}{\mathit{I(c)}\)	"\(\mathit{UIC(c)\) returns the unwanted activity instance count for case \(c\).
\newline \(\mathit{I(c)\) returns the total number of activity instances in case \(c\). \\"
Unwanted activity Instance Percentage (group of cases granularity)	Q	G	\(\mathit{UIP(g)\)	\(\frac{\mathit{UIC(g)}{\mathit{I(g)}\)	"\(\mathit{UIC(g)\) returns the unwanted activity instance count for group \(g\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
Expected Unwanted activity Instance Percentage	Q	G	\(\mathit{e\mathit{UIP(g)\)	\(\frac{\sum _{c \in g} \mathit{UIP(c)}{\mathit{C(g)}\)	"\(\mathit{UIP(c)\) returns the unwanted activity instance percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Activity and Role count Ratio (case granularity)	F	C	\(\mathit{ARoleR(c)\)	\(\frac{\mathit{A(c)}{\mathit{Role(c)}\)	"\(\mathit{A(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{Role(c)\) returns the number of unique roles involved in case \(c\). \\"
Activity and Role count Ratio (group of cases granularity)	F	G	\(\mathit{ARoleR(g)\)	\(\frac{\mathit{A(g)}{\mathit{Role(g)}\)	"\(\mathit{A(g)\) returns the number of unique activities in group \(g\).
\newline \(\mathit{Role(g)\) returns the number of unique roles involved in group \(g\). \\"
Expected Activity and Role count Ratio	F	G	\(\mathit{e\mathit{ARoleR(g)\)	\(\frac{\sum _{c \in g} \mathit{A(c)}{\sum _{c \in g} \mathit{Role(c)}\)	"\(\mathit{A(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{Role(c)\) returns the number of unique roles involved in case \(c\). \\"
activity Instance and Human Resource count Ratio (activity granularity)	F	A	\(\mathit{IHRR(a)\)	\(\frac{\mathit{I(a)}{\mathit{HR(a)}\)	"\(\mathit{I(a)\) returns the total number of instances of activity \(a\).
\newline \(\mathit{HR(a)\) returns the number of unique human resources that performed activity \(a\). \\"
activity Instance and Human Resource count Ratio (case granularity)	F	C	\(\mathit{IHRR(c)\)	\(\frac{\mathit{I(c)}{\mathit{HR(c)}\)	"\(\mathit{I(c)\) returns the total number of activity instances in case \(c\).
\newline \(\mathit{HR(c)\) returns the number of unique human resources involved in case \(c\). \\"
activity Instance and Human Resource count Ratio (group of cases granularity)	F	G	\(\mathit{IHRR(g)\)	\(\frac{\mathit{I(g)}{\mathit{HR(g)}\)	"\(\mathit{I(g)\) returns the total number of activity instances in group \(g\).
\newline \(\mathit{HR(g)\) returns the number of unique human resources involved in group \(g\). \\"
Expected activity Instance and Human Resource count Ratio	F	G	\(\mathit{e\mathit{IHRR(g)\)	\(\frac{\mathit{I(g)}{\sum _{c \in g} \mathit{HR(c)}\)	"\(\mathit{I(g)\) returns the total number of activity instances in group \(g\).
\newline \(\mathit{HR(c)\) returns the number of unique human resources involved in case \(c\). \\"
Client count (activity granularity)	F	A	\(\mathit{Cli(a)\)	\(\mathit{count(\mathit{Cli(a))\)	\(\mathit{Cli(a)\) returns the set of distinct client identifiers associated with activity $a$. \\
Client count (group of cases granularity)	F	G	\(\mathit{Cli(g)\)	\(\mathit{count(\mathit{Cli(g))\)	\(\mathit{Cli(g)\) returns the set of distinct client identifiers associated with case group $g$. \\
Expected Client count	F	G	\(\mathit{e\mathit{Cli(g)\)	\(\frac{\mathit{Cli(g)}{\mathit{C(g)}\)	"\(\mathit{Cli(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Directly-Follows Relations and Activity count Ratio (case granularity)	F	C	\(\mathit{DFRAR(c)\)	\(\frac{\mathit{DFR(c)}{\mathit{A(c)}\)	"\(\mathit{DFR(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
Directly-Follows Relations and Activity count Ratio (group of cases granularity)	F	G	\(\mathit{DFRAR(g)\)	\(\frac{\mathit{DFR(g)}{\mathit{A(g)}\)	"\(\mathit{DFR(g)\) returns the number of unique Directly-Follows Relations (DFR) in group \(g\).
\newline \(\mathit{A(g)\) returns the number of unique activities in group \(g\). \\"
Expected Directly-Follows Relations and Activity count Ratio	F	G	\(\mathit{e\mathit{DFRAR(g)\)	\(\frac{\sum _{c \in g} \mathit{DFR(c)}{\sum _{c \in g} \mathit{A(c)}\)	"\(\mathit{DFR(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
Directly-Follows Relations count (case granularity)	F	C	\(\mathit{DFR(c)\)	\(\mathit{count(\mathit{dfrel(c))\)	\(\mathit{dfrel(c)\) returns the set of unique Directly-Follows Relations (DFR) in case \(c\). \\
Directly-Follows Relations count (group of cases granularity)	F	G	\(\mathit{DFR(g)\)	\(\displaystyle \sum_{r \in (\cup_{c \in g} \mathit{dfrel(c))} 1\)	\(\mathit{dfrel(c)\) returns the set of unique Directly-Follows Relations (DFR) in case \(c\). \\
Expected Directly-Follows Relations count	F	G	\(\mathit{e\mathit{DFR(g)\)	\(\frac{\sum _{c \in g} \mathit{DFR(c)}{\mathit{C(g)}\)	"\(\mathit{DFR(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Human Resource count (activity granularity)	F	A	\(\mathit{HR(a)\)	\(\mathit{count(\mathit{hres(a))\)	$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
Human Resource count (case granularity)	F	C	\(\mathit{HR(c)\)	\(\mathit{count(\mathit{hres(c))\)	$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
Human Resource count (group of cases granularity)	F	G	\(\mathit{HR(g)\)	\(\mathit{count(\mathit{hres(g))\)	$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
Expected Human Resource count	F	G	$e$\(\mathit{HR(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
Optional Activity count (case granularity)	F	C	\(\mathit{OptA(c)\)	"\(\displaystyle \sum_{a \in \mathit{act(c)}
\begin{cases}
1 & \text{if } a \in \mathit{opt(C) \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{opt(C)\) returns the set of optional activities in the event log \(C\). \\"
Optional Activity count (group of cases granularity)	F	G	\(\mathit{OptA(g)\)	"\(\displaystyle \sum_{a \in \mathit{act(g)}
\begin{cases}
1 & \text{if } a \in \mathit{opt(C) \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{opt(C)\) returns the set of optional activities in the event log \(C\). \\"
Expected Optional Activity count	F	G	\(\mathit{e\mathit{OptA(g)\)	\(\frac{\sum _{c \in g} \mathit{OptA(c)}{\mathit{C(g)}\)	"\(\mathit{OptA(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Optionality (case granularity)	F	C	\(\mathit{Opt(c)\)	\(\frac{\mathit{OptA(c)}{\mathit{A(c)}\)	"\(\mathit{OptA(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
Optionality (group of cases granularity)	F	G	\(\mathit{Opt(g)\)	\(\frac{\mathit{OptA(g)}{\mathit{A(g)}\)	"\(\mathit{OptA(g)\) returns the optional activity count for group \(g\).
\newline \(\mathit{A(g)\) returns the number of unique activities in group \(g\). \\"
Expected Optionality	F	G	\(\mathit{e\mathit{Opt(g)\)	\(\frac{\sum _{c \in g} \mathit{OptA(c)}{\sum _{c \in g} \mathit{A(c)}\)	"\(\mathit{OptA(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
Role and Variant count Ratio (group of cases granularity)	F	G	\(\mathit{RoleVR(g)\)	\(\frac{\mathit{Role(g)}{\mathit{V(g)}\)	"\(\mathit{Role(g)\) returns the number of unique roles involved in group \(g\).
\newline \(\mathit{V(g)\) returns the number of unique variants in group \(g\). \\"
Role count (case granularity)	F	C	\(\mathit{Role(c)\)	\(\mathit{count(\mathit{role(c))\)	\(\mathit{role(c)\) returns the set of unique roles involved in case \(c\). \\
Role count (group of cases granularity)	F	G	\(\mathit{Role(g)\)	\(\mathit{count(\cup_{c \in g} \mathit{role(c))\)	\(\mathit{role(c)\) returns the set of unique roles involved in case \(c\). \\
Expected Role count	F	G	\(\mathit{e\mathit{Role(g)\)	\(\frac{\sum _{c \in g} \mathit{Role(c)}{\mathit{C(g)}\)	"\(\mathit{Role(c)\) returns the role count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Variant Case Coverage (case granularity)	F	C	\(\mathit{VCC(c)\)	"\(\frac{
\sum_{c' \in C}
\begin{cases}
1 & \text{if } \exists tr \in \mathit{trace(c) \land tr' \in \mathit{trace(c') [tr = tr'] \\
0 & \text{otherwise}
\end{cases}
}{\mathit{count(C)}\)"	"$\mathit{trace(c')$ returns the trace (sequence of activities) of case $c'$.
\newline $\mathit{trace(c)$ returns the trace (sequence of activities) of case $c$.
\newline $\mathit{count(C)$ returns the total number of cases in the event log. \\"
Variant Case Coverage (group of cases granularity)	F	G	\(\mathit{VCC(g)\)	"\(\frac{
\sum_{c \in C}
\begin{cases}
1 & \text{if } \exists tr \in \mathit{trace(c) [tr \in \mathit{variants(g)] \\
0 & \text{otherwise}
\end{cases}
}{\mathit{count(C)}\)"	"$\mathit{trace(c)$ returns the trace (sequence of activities) of case $c$.
\newline $\mathit{variants(g)$ returns the set of unique traces (variants) present in group $g$.
\newline $\mathit{count(C)$ returns the total number of cases in the event log. \\"
Variant count (group of cases granularity)	F	G	\(\mathit{V(g)\)	\(\mathit{count(\mathit{variants(g))\)	\(\mathit{variants(g)\) returns the set of unique traces (variants) present in group \(g\). \\
Directly-Follows Relations count (activity granularity)	F	A	\(\mathit{DFR(a)\)	\(\sum_{a \in \mathit{act(a)} \mathit{dfrel(a)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{dfrel(a)\) returns the set of activities that directly follow activity \(a\) in any case. \\"
